"city","population","MCO","lat","lon","District","state","province","country"
"Detroit",672351,754,42.3315509,-83.0466403,7,"MI","Michigan","US"
"Bryan",83980,755,30.6743643,-96.3699632,34,"TX","Texas","US"
"College Station",120511,755,30.6183939,-96.3455991,34,"TX","Texas","US"
"Cypress",122803,755,29.9691116,-95.6971686,34,"TX","Texas","US"
"Pflugerville",65191,756,30.4393696,-97.6200043,17,"TX","Texas","US"
"Cedar Park",77595,756,30.5217116,-97.827833,17,"TX","Texas","US"
"Round Rock",119468,756,30.5085915,-97.6788056,17,"TX","Texas","US"
"Killeen",153095,756,31.1171441,-97.727796,17,"TX","Texas","US"
"Tinley Park",55971,757,41.5733669,-87.7844944,28,"IL","Illinois","US"
"Oak Lawn",58362,757,41.7108662,-87.7581081,28,"IL","Illinois","US"
"Joliet",150362,757,41.5263603,-88.0840212,28,"IL","Illinois","US"
"Skokie",67824,758,42.0262972,-87.7521069,28,"IL","Illinois","US"
"Evanston",78110,758,42.0470043,-87.6846053,28,"IL","Illinois","US"
"Elkhart",52748,759,41.6819935,-85.9766671,28,"IN","Indiana","US"
"Gary",68325,759,41.6020962,-87.3370646,28,"IN","Indiana","US"
"Hammond",77879,759,41.6173959,-87.5220108,28,"IN","Indiana","US"
"South Bend",103453,759,41.6833813,-86.2500066,28,"IN","Indiana","US"
"Decatur",77047,760,39.8454163,-88.9524151,30,"IL","Illinois","US"
"Champaign",88302,760,40.1164841,-88.2430932,30,"IL","Illinois","US"
"Springfield",116482,760,39.7990175,-89.6439575,30,"IL","Illinois","US"
"Rogers",69908,761,36.3330154,-94.1166283,22,"AR","Arkansas","US"
"Fayetteville",93949,761,36.0625843,-94.1574328,22,"AR","Arkansas","US"
"Broken Arrow",98850,761,36.0525993,-95.7908195,22,"OK","Oklahoma","US"
"Tulsa",413066,761,36.1563122,-95.9927516,22,"OK","Oklahoma","US"
"Madison",56933,762,34.6928726,-86.7511427,6,"AL","Alabama","US"
"Decatur",57938,762,34.6060203,-86.9838165,6,"AL","Alabama","US"
"Tuscaloosa",99600,762,33.2095614,-87.5675258,6,"AL","Alabama","US"
"Huntsville",215006,762,34.729847,-86.5859011,6,"AL","Alabama","US"
"South Fulton",95000,763,33.5902659,-84.6712292,6,"GA","Georgia","US"
"Terre Haute",57259,764,39.4667025,-87.4139119,7,"IN","Indiana","US"
"Greenwood",63830,764,39.6136987,-86.1095429,7,"IN","Indiana","US"
"Bloomington",69247,764,39.1670396,-86.5342881,7,"IN","Indiana","US"
"Indianapolis",882039,764,39.7683331,-86.1583502,7,"IN","Indiana","US"
"Mansfield",50212,765,40.75839,-82.5154471,31,"OH","Ohio","US"
"Toledo",268508,765,41.6529143,-83.5378173,31,"OH","Ohio","US"
"Elyria",52816,766,41.3673191,-82.1073583,31,"OH","Ohio","US"
"Lorain",65337,766,41.4673238,-82.1781904,31,"OH","Ohio","US"
"Parma",79982,766,41.3822398,-81.7355692,31,"OH","Ohio","US"
"Cleveland",367991,766,41.4996574,-81.6936772,31,"OH","Ohio","US"
"Cuyahoga Falls",50810,767,41.1362729,-81.4828123,31,"OH","Ohio","US"
"Youngstown",60270,767,41.1035786,-80.6520161,31,"OH","Ohio","US"
"Canton",70426,767,40.7985464,-81.3749508,31,"OH","Ohio","US"
"Akron",189347,767,41.083064,-81.518485,31,"OH","Ohio","US"
"Mount Pleasant",59113,768,32.7940651,-79.8625851,27,"SC","South Carolina","US"
"North Charleston",114852,768,32.8546197,-79.9748103,27,"SC","South Carolina","US"
"Savannah",147780,768,32.0790074,-81.0921335,27,"GA","Georgia","US"
"Charleston",150227,768,32.7884363,-79.9399309,27,"SC","South Carolina","US"
"Columbus",905748,769,39.9622601,-83.0007065,31,"OH","Ohio","US"
"Hamilton",62447,770,39.3995067,-84.5613428,31,"OH","Ohio","US"
"Cincinnati",298800,770,39.1014537,-84.5124602,31,"OH","Ohio","US"
"Collierville",51324,771,35.042036,-89.6645266,20,"TN","Tennessee","US"
"Bartlett",58579,771,35.2045329,-89.8739753,20,"TN","Tennessee","US"
"Jackson",66975,771,35.6144446,-88.8177418,20,"TN","Tennessee","US"
"Memphis",633104,771,35.1460249,-90.0517638,20,"TN","Tennessee","US"
"Hendersonville",56018,772,36.3049177,-86.621443,20,"TN","Tennessee","US"
"Bowling Green",72294,772,36.9929203,-86.4428677,20,"KY","Kentucky","US"
"Clarksville",180716,772,36.5277607,-87.3588703,20,"TN","Tennessee","US"
"Nashville",654610,772,36.1622767,-86.7742984,20,"TN","Tennessee","US"
"Owensboro",55525,773,37.7742152,-87.1133304,20,"KY","Kentucky","US"
"Evansville",115738,773,37.970495,-87.5715641,20,"IN","Indiana","US"
"Lexington",322570,773,38.0464066,-84.4970393,20,"KY","Kentucky","US"
"Louisville",612780,773,38.2542376,-85.759407,20,"KY","Kentucky","US"
"Kingsport",53014,774,36.550238,-82.5594293,20,"TN","Tennessee","US"
"Johnson City",71046,774,36.3167671,-82.352903,20,"TN","Tennessee","US"
"Chattanooga",176588,774,35.0457219,-85.3094883,20,"TN","Tennessee","US"
"Knoxville",190740,774,35.9603948,-83.9210261,20,"TN","Tennessee","US"
"Auburn",76143,775,32.6098566,-85.4807825,6,"AL","Alabama","US"
"Hoover",92606,775,33.3848933,-86.8070484,6,"AL","Alabama","US"
"Montgomery",200603,775,32.37742,-86.3091683,6,"AL","Alabama","US"
"Birmingham",200733,775,33.5206824,-86.8024326,6,"AL","Alabama","US"
"Brookhaven",53518,776,33.8584368,-84.340203,6,"GA","Georgia","US"
"Atlanta",506804,776,33.7489924,-84.3902644,6,"GA","Georgia","US"
"Smyrna",56685,777,33.883887,-84.5147454,6,"GA","Georgia","US"
"Marietta",61048,777,33.9528472,-84.5496148,6,"GA","Georgia","US"
"Pensacola",53248,778,30.421309,-87.2169149,25,"FL","Florida","US"
"Mobile",187041,778,30.6913462,-88.0437509,25,"AL","Alabama","US"
"Warner Robins",74854,779,32.6200973,-83.606568,6,"GA","Georgia","US"
"Albany",75335,779,31.5782062,-84.1556809,6,"GA","Georgia","US"
"Macon",152663,779,32.8406946,-83.6324022,6,"GA","Georgia","US"
"Columbus",189885,779,32.4610708,-84.9880449,6,"GA","Georgia","US"
"Gastonia",69904,780,35.2622654,-81.1838186,27,"NC","North Carolina","US"
"Rock Hill",74102,780,34.9248667,-81.0250784,27,"SC","South Carolina","US"
"Delray Beach",60522,781,26.4614625,-80.0728201,12,"FL","Florida","US"
"Melbourne",76068,781,28.0785034,-80.6077908,12,"FL","Florida","US"
"Palm Bay",119760,781,27.9946969,-80.6366144,12,"FL","Florida","US"
"Port Saint Lucie",164603,781,27.2939333,-80.3503283,12,"FL","Florida","US"
"Chapel Hill",61960,782,35.9131542,-79.05578,8,"NC","North Carolina","US"
"Cary",176987,782,35.7882893,-78.7812081,8,"NC","North Carolina","US"
"Durham",283506,782,35.996653,-78.9018053,8,"NC","North Carolina","US"
"Raleigh",431746,782,35.7803977,-78.6390989,8,"NC","North Carolina","US"
"Columbia",139698,783,34.000754,-81.0352313,27,"SC","South Carolina","US"
"Augusta",194343,783,33.4709714,-81.9748429,27,"GA","Georgia","US"
"Jacksonville",949611,784,30.3321838,-81.655651,25,"FL","Florida","US"
"Four Corners",56381,785,28.3550481,-81.6770547,25,"FL","Florida","US"
"Horizon West",58101,785,28.474433,-81.6265207,25,"FL","Florida","US"
"Pine Hills",66111,785,28.5779593,-81.4514891,25,"FL","Florida","US"
"Poinciana",69309,785,28.1431314,-81.4700737,25,"FL","Florida","US"
"Tampa",384959,786,27.9477595,-82.458444,12,"FL","Florida","US"
"Homestead",60512,787,25.4718946,-80.4759905,12,"FL","Florida","US"
"Kendall",114736,787,25.6792695,-80.3172743,12,"FL","Florida","US"
"Hialeah",224669,787,25.822168,-80.2777409,12,"FL","Florida","US"
"Miami",404048,787,25.7741728,-80.19362,12,"FL","Florida","US"
"Weston",65720,788,26.1003392,-80.399513,12,"FL","Florida","US"
"Boca Raton",86396,788,26.3586885,-80.0830984,12,"FL","Florida","US"
"Miramar",108072,788,25.9873137,-80.2322706,12,"FL","Florida","US"
"Fort Lauderdale",165521,788,26.1223084,-80.1433786,12,"FL","Florida","US"
"High Point",104371,789,35.9556924,-80.0053176,8,"NC","North Carolina","US"
"Winston-Salem",249545,789,36.0998131,-80.2440518,8,"NC","North Carolina","US"
"Greensboro",299035,789,36.0726355,-79.7919754,8,"NC","North Carolina","US"
"Nashua",86494,790,42.7656251,-71.4677032,24,"NH","New Hampshire","US"
"Manchester",109497,790,42.9956397,-71.4547891,24,"NH","New Hampshire","US"
"Chicopee",55298,791,42.1487691,-72.6071119,9,"MA","Massachusetts","US"
"Springfield",155929,791,42.1018764,-72.5886727,9,"MA","Massachusetts","US"
"Casper",58763,792,42.8501191,-106.325138,23,"WY","Wyoming","US"
"Cheyenne",65035,792,41.139981,-104.820246,23,"WY","Wyoming","US"
"West Des Moines",68723,793,41.5644476,-93.7594059,4,"IA","Iowa","US"
"Ankeny",76207,793,41.7320796,-93.605092,4,"IA","Iowa","US"
"Sioux City",85797,793,42.4966815,-96.4058782,4,"IA","Iowa","US"
"Des Moines",214133,793,41.5868654,-93.6249494,4,"IA","Iowa","US"
"Fairfield",57829,794,41.1412078,-73.2637258,9,"CT","Connecticut","US"
"Danbury",80893,794,41.394817,-73.4540111,9,"CT","Connecticut","US"
"New Haven",124001,794,41.3082138,-72.9250518,9,"CT","Connecticut","US"
"Bridgeport",137912,794,41.1792695,-73.1887863,9,"CT","Connecticut","US"
"Leesburg",54215,795,39.1154506,-77.5645607,10,"VA","Virginia","US"
"Reston",63226,795,38.9587514,-77.3585955,10,"VA","Virginia","US"
"Centreville",73518,795,38.8387653,-77.4315911,10,"VA","Virginia","US"
"Pawtucket",72998,796,41.8789531,-71.3821203,24,"RI","Rhode Island","US"
"Cranston",81479,796,41.779588,-71.4366813,24,"RI","Rhode Island","US"
"Warwick",85925,796,41.6992717,-71.4586114,24,"RI","Rhode Island","US"
"Providence",179472,796,41.8239891,-71.4128343,24,"RI","Rhode Island","US"
"White Plains",59559,797,41.0339862,-73.7629097,11,"NY","New York","US"
"Haverhill",60879,798,42.7777829,-71.0767724,24,"MA","Massachusetts","US"
"Lawrence",76377,798,42.7070354,-71.1631137,24,"MA","Massachusetts","US"
"Lynn",90329,798,42.466763,-70.9494939,24,"MA","Massachusetts","US"
"Lowell",115554,798,42.6414437,-71.3085329,24,"MA","Massachusetts","US"
"Amherst",129595,799,42.9783924,-78.7997616,9,"NY","New York","US"
"Buffalo",278349,799,42.8867166,-78.8783922,9,"NY","New York","US"
"Troy",51401,800,42.7284117,-73.6917878,9,"NY","New York","US"
"Schenectady",61560,800,42.8142432,-73.9395687,9,"NY","New York","US"
"Albany",99224,800,42.6511674,-73.754968,9,"NY","New York","US"
"Marysville",70714,801,48.0517429,-122.1768209,33,"WA","Washington","US"
"Bellingham",91482,801,48.7544012,-122.478836,33,"WA","Washington","US"
"Everett",110629,801,47.9793437,-122.2127011,33,"WA","Washington","US"
"Mount Vernon",73893,803,40.9125085,-73.8386504,11,"NY","New York","US"
"New Rochelle",79726,803,40.9115386,-73.7826363,11,"NY","New York","US"
"Yonkers",211569,803,40.9312099,-73.8987469,11,"NY","New York","US"
"New York",8804190,803,40.7127281,-74.0060152,11,"NY","New York","US"
"Gresham",114247,804,45.4978623,-122.4329883,1,"OR","Oregon","US"
"Portland",652503,804,45.5202471,-122.674194,1,"OR","Oregon","US"
"Levittown",51758,806,40.7259621,-73.5144766,11,"NY","New York","US"
"Hempstead",59169,806,40.7092836,-73.6230362,11,"NY","New York","US"
"Brentwood",62387,806,40.7812093,-73.2462273,11,"NY","New York","US"
"Brookhaven",485773,806,40.7792653,-72.9153827,11,"NY","New York","US"
"Paradise",191238,807,36.1011223,-115.1479329,26,"NV","Nevada","US"
"North Las Vegas",245949,807,36.2005843,-115.121584,26,"NV","Nevada","US"
"Henderson",310390,807,36.0319843,-114.9822486,26,"NV","Nevada","US"
"Las Vegas",653533,807,36.171697,-115.1463536,26,"NV","Nevada","US"
"Upper Darby",79356,808,39.9284459,-75.2737955,29,"PA","Pennsylvania","US"
"Philadelphia",1603797,808,39.9527237,-75.1635262,29,"PA","Pennsylvania","US"
"Penn Hills",55283,809,40.4729398,-79.8176723,18,"PA","Pennsylvania","US"
"Pittsburgh",311647,809,40.4416941,-79.9900861,18,"PA","Pennsylvania","US"
"Scranton",72861,810,41.4086874,-75.6621294,18,"PA","Pennsylvania","US"
"Harrisburg",50099,811,40.2663107,-76.8861122,18,"PA","Pennsylvania","US"
"Lancaster",59322,811,40.0379958,-76.3056707,18,"PA","Pennsylvania","US"
"Levittown",52699,812,40.154762,-74.8380029,29,"PA","Pennsylvania","US"
"Abington Township",54608,812,40.1206656,-75.1179512,29,"PA","Pennsylvania","US"
"Bensalem Township",58751,812,40.1045549,-74.951279,29,"PA","Pennsylvania","US"
"Vineland",60724,813,39.4862777,-75.0254256,29,"NJ","New Jersey","US"
"Cherry Hill",71586,813,39.9348351,-75.0307264,29,"NJ","New Jersey","US"
"Camden",77344,813,39.9448402,-75.1198911,29,"NJ","New Jersey","US"
"Wayne",54849,814,40.9491723,-74.2376802,11,"NJ","New Jersey","US"
"Union City",63930,814,40.7795455,-74.0237512,11,"NJ","New Jersey","US"
"Clifton",79606,814,40.8584328,-74.1637553,11,"NJ","New Jersey","US"
"Paterson",147000,814,40.9167654,-74.171811,11,"NJ","New Jersey","US"
"Walnut Creek",70166,815,37.9020731,-122.0618702,21,"CA","California","US"
"Alameda",77624,815,37.7652076,-122.241635,21,"CA","California","US"
"Antioch",111502,815,38.0093296,-121.8106925,21,"CA","California","US"
"Oakland",433031,815,37.8044557,-122.271356,21,"CA","California","US"
"Perris",51397,816,33.7818729,-117.2298477,26,"CA","California","US"
"Hemet",70136,816,33.7475203,-116.9719684,26,"CA","California","US"
